ClassID,ClassName,Count,Weight
1,slither,839,2.46598896336702
2,groupon,1036,1.99752240041302
3,tripadvisor,1689,1.2256986563481
4,android,9034,0.22926737456871
5,duolingo,4173,0.496269939920531
6,subito,3857,0.536918281292975
7,voip,1493,1.38649981876057
8,music,3007,0.688640534982812
9,iliga,6489,0.319172685551356
10,comics,2451,0.844792303926712
11,pinterest,1999,1.03571536461415
12,trello,1103,1.87629595038795
13,foursquared,3263,0.634629512631219
14,katana,2310,0.89633523549472
15,orca,1374,1.5064950758024
16,wish,3306,0.62637760182289
17,youtube,2276,0.909719248672946
18,waze,6399,0.323661051441921
