ClassID,ClassName,Count,Weight
1,slither,2040,1.52086026369196
2,groupon,1408,2.2030346332117
3,tripadvisor,2441,1.27112031048128
4,android,14014,0.221482397302553
5,duolingo,5939,0.522571683197859
6,subito,5807,0.534448312361446
7,voip,2062,1.50464168598899
8,music,4458,0.696137205246755
9,iliga,8352,0.371612091248088
10,comics,4227,0.734171191626131
11,pinterest,2882,1.0766825522703
12,trello,1516,2.04619367053084
13,foursquared,4800,0.646547760507244
14,katana,3364,0.922459375392357
15,orca,1836,1.68975274806493
16,wish,4308,0.720370340727612
17,youtube,3165,0.980440871192445
18,waze,9197,0.337472906957521
